Equipo,Fecha_Inicial,Fecha_Final,Horometro_Inicial,Horometro_Final,Rendimiento,Marca,Costos_Hora
CQ-EXC-01,2025-05-12,2025-06-05,1016.8,1203.7,186.9,CAT 597-6133,7.722204387
CQ-EXC-01,2025-06-05,2025-06-30,1203.7,1400.4,196.7,CAT 597-6133,7.337468226
CQ-EXC-01,2025-06-30,2025-07-24,1400.4,1650.4,250,CAT 597-6133,5.77312
CQ-EXC-01,2025-07-24,2025-08-01,1650.4,1779.4,129,CAT 597-6133,11.18821705
CQ-EXC-01,2025-08-01,2025-08-27,1779.4,2067.8,288.4,CAT 597-6133,5.00443828
CQ-EXC-01,2025-08-27,2025-09-10,2067.8,2253.4,185.6,CAT 597-6133,7.776293103
CQ-EXC-01,2025-09-10,2025-10-02,2253.4,2477.1,223.7,CAT 597-6133,6.451855163
CQ-EXC-01,2025-10-02,2025-10-23,2477.1,2690.5,213.4,CAT 597-6133,6.763261481
CQ-EXC-01,2025-10-23,2025-11-11,2690.5,2864.9,174.4,CAT 597-6133,8.275688073
CQ-EXC-01,2025-11-11,2025-12-03,2864.9,3061.4,196.5,CAT 539-5692,1.272264631
CQ-EXC-01,2025-12-03,2025-12-21,3061.4,3262.4,201,CAT 597-6133,7.180497512
CQ-EXC-02,2025-05-01,2025-08-13,16730,17016.6,286.6,CTP 138-6451,
CQ-EXC-02,2025-08-13,2025-08-27,17016.6,17135,118.4,CAT 539-5692,2.111486486
CQ-EXC-02,2025-08-27,2025-08-30,17135,17161.46,26.46,CAT 539-5692,9.448223734
CQ-EXC-02,2025-08-30,2025-10-04,17161.46,17378.6,217.14,CAT 597-6133,6.646771668
CQ-EXC-02,2025-10-04,2025-10-27,17378.6,17622.1,243.5,CAT 597-6133,5.927227926
CQ-EXC-02,2025-10-27,2025-11-15,17622.1,17784.5,162.4,CAT 597-6133,8.887192118
CQ-EXC-02,2025-11-15,2025-11-28,17784.5,17937.3,152.8,CAT 597-6133,9.445549738
CQ-EXC-02,2025-11-28,2025-12-20,17937.3,18130,192.7,CAT 597-6133,7.489776855
CQ-EXC-03,2025-05-08,2025-05-19,15652.9,15751.1,98.2,CAT 539-5692,2.545824847
CQ-EXC-03,2025-05-19,2025-05-31,15751.1,15829.1,78,CAT 539-5692,3.205128205
CQ-EXC-03,2025-05-31,2025-07-01,15829.1,16007.3,178.2,CAT 539-5692,1.40291807
CQ-EXC-03,2025-07-01,2025-07-15,16007.3,16109.6,102.3,CAT 539-5692,2.443792766
CQ-EXC-03,2025-07-15,2025-07-29,16109.6,16219.4,109.8,CAT 539-5692,2.276867031
CQ-EXC-03,2025-07-29,2025-08-25,16219.4,16363.4,144,CAT 539-5692,1.736111111
CQ-EXC-03,2025-08-25,2025-09-17,16363.4,16495.7,132.3,CAT 539-5692,1.889644747
CQ-EXC-03,2025-09-17,2025-11-18,16495.7,16672,176.3,CAT 539-5692,1.418037436
CQ-EXC-03,2025-11-18,2025-12-15,16672,16814.5,142.5,CAT 539-5652-01,1.762807018
CQ-EXC-04,2025-05-12,2025-06-01,12282,12403.5,121.5,CAT 539-5692,2.057613169
CQ-EXC-04,2025-06-01,2025-09-14,12403.5,12514,110.5,CAT 539-5692,2.262443439
CQ-EXC-04,2025-09-14,2025-12-02,12514,12788.7,274.7,CAT 539-5692,0.910083728
CQ-EXC-04,2025-12-02,2025-12-27,12788.7,12898.6,109.9,CAT 539-5692,2.274795268
CQ-EXC-05,2025-05-12,2025-10-01,7789.2,8062.8,273.6,CAT 539-5692,0.91374269
CQ-EXC-06,2025-05-05,2025-06-03,11913.1,12055,141.9,CAT 539-5692,1.761804087
CQ-EXC-06,2025-06-03,2025-06-17,12055,12137,82,CAT 539-5692,3.048780488
CQ-EXC-06,2025-06-17,2025-07-02,12137,12229.1,92.1,CAT 539-5692,2.714440825
CQ-EXC-06,2025-07-02,2025-07-19,12229.1,12393.5,164.4,CAT 539-5692,1.520681265
CQ-EXC-06,2025-07-19,2025-08-06,12393.5,12540.3,146.8,CAT 539-5692,1.702997275
CQ-EXC-06,2025-08-06,2025-08-15,12540.3,12615.4,75.1,CAT 539-5692,3.328894807
CQ-EXC-06,2025-08-15,2025-08-22,12615.4,12711.3,95.9,CAT 539-5692,2.606882169
CQ-EXC-06,2025-08-22,2025-08-30,12711.3,12823.6,112.3,CAT 539-5692,2.226179875
CQ-EXC-06,2025-08-30,2025-09-12,12823.6,12960.6,137,CAT 539-5692,1.824817518
CQ-EXC-06,2025-09-12,2025-09-26,12960.6,13095.4,134.8,CAT 539-5692,1.854599407
CQ-EXC-06,2025-09-26,2025-11-01,13095.4,13376.4,281,CAT 539-5692,0.889679715
CQ-EXC-06,2025-11-01,2025-11-08,13376.4,13460.5,84.1,CAT 539-5692,2.972651605
CQ-EXC-07,2025-05-08,2025-05-16,10824.7,10912.3,87.6,CAT 539-5692,2.853881279
CQ-EXC-07,2025-05-16,2025-05-26,10912.3,11007.3,95,CAT 539-5692,2.631578947
